OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
191,S/H8/26,BHCB,100,260.914039831,4311.2265625,282.394883185162
192,S/H8/26,BHCB,110,322.235861279,5154.681640625,348.757060747676
193,S/H8/26,BHCB,100,308.660681128,6317.70703125,334.372222765347
194,S/H8/26,BHCS,2,219.675955892,3514.02734375,238.220340049702
195,S/H8/26,BHCB,110,327.294971928,5361.19140625,354.609498497386
196,S/H8/26,BHCB,45,243.113346368,4333.712890625,263.391600431847
197,S/H8/26,BHCB,220,204.942261084,2588.55078125,222.214712443426
198,S/H8/26,BHCB,110,473.00059399,8177.693359375,511.49061549807
199,S/H8/26,BHCS,8,602.40324472,10729.755859375,653.05810057162
200,S/H8/26,BHCS,13,337.162749796,7696.626953125,365.007969831329
201,S/H8/26,BHCS,6,160.481010249,1474.103515625,174.106709477113
202,S/H8/26,BHCS,1,356.863422132,10752.048828125,386.472465977521
203,S/H8/26,BHCB,120,747.487229531,22620.310546875,810.061614307171
204,S/H8/26,BHCS,1,163.490152845,2052.59765625,177.211625725329
205,S/H8/26,BHCB,130,893.476813994,29422.94140625,968.38528653942
206,S/H8/26,BHCB,110,341.790106255,6188.212890625,369.778645084214
207,S/H8/26,BHCB,130,650.293726104,11791.19921875,704.03631355262
208,S/H21/28,BHCS,1,118.629814723,690.93359375,128.59052027254
209,S/H21/28,BHCB,135,866.081099524,17950.037109375,938.476349158829
210,S/H21/28,BHCB,85,312.621143711,5230.052734375,338.238710830955
211,S/H21/28,BHCB,120,356.791699936,9791.921875,386.605957994171
212,S/H21/28,BHCB,105,437.376055937,12775.205078125,473.813876711826
213,S/H21/28,BHCB,105,295.468992255,5676.025390625,320.457846819854
214,S/H21/28,BHCS,3,254.767767534,2447.890625,275.977982304994
215,S/H21/28,BHCS,1,237.725984957,3657.728515625,257.271075167456
216,S/H21/28,BHCB,29,245.424898167,1360.82421875,266.4017985784
217,S/H21/28,BHCB,120,708.067686821,17467.33984375,766.163852881412
218,S/H21/28,BHCB,120,233.460110307,2985.060546875,252.703858560054
219,S/H21/28,BHCB,130,224.094521717,3441.40625,242.861375786531
220,S/H21/28,BHCB,120,294.040144285,5507.818359375,318.775295332768
221,S/H21/28,BHCB,130,503.710999999,10017.3671875,545.367415206443
222,S/H21/28,BHCB,105,635.270209332,15115.814453125,689.18603251345
223,S/H21/28,BHCB,120,501.654326688,8871.822265625,542.946847155748
224,S/H21/28,BHCB,160,288.81806552,4624.0546875,313.337816809852
225,S/H21/28,BHCS,6,674.200873483,29077.9765625,730.271652703708
226,S/H21/28,BHCS,3,164.400056457,1909.23828125,178.180541022007
227,S/H21/28,BHCB,100,630.039568425,15193.841796875,681.629486250215
228,S/H21/28,BHCB,29,63.3918860705,162.98046875,68.7334377419471
229,S/H21/28,BHCS,1,50.8445481202,188.53515625,55.0909319652143
230,S/H21/28,BHCB,135,249.211937403,4068.677734375,269.842298727972
231,S/H21/28,BHCB,170,277.693328861,5643.03125,300.806834191464
232,S/H21/28,BHCB,105,326.048212084,7456.654296875,353.435957081663
233,S/H21/28,BHCB,105,172.327016469,2123.869140625,186.801419648038
234,S/H21/28,BHCS,1,46.1805211648,133.14453125,50.0276429846662
235,S/H21/28,BHCB,165,770.63565262,22260.1015625,833.659872695056
236,S/H21/28,BHCB,150,382.082004327,8328.72265625,414.411642375427
237,S/H21/28,BHCB,120,365.248290739,4274.455078125,395.529636364549
238,S/H21/28,BHCB,120,743.339036961,34452.4140625,804.373828686426
239,S/H21/28,BHCB,90,223.698908406,3909.943359375,242.309574881306
240,S/H21/28,BHCS,13,198.227407759,2871.828125,214.762937726511
241,S/H21/28,BHCS,1,46.448409556,135.357421875,50.3183024323729
